类型,编号,论断,数值,单位,发布方/推理,URL,置信度,取数日期,备注
假设,weekly_hours,每周可投入工时,20,小时/周,用户给定硬约束,,假设,2026-07-26,敏感性区间 15 ~ 25
假设,founder_hourly_cost,创始人时间的机会成本单价,25,美元/小时,无法从外部来源确定个人机会成本，取一个保守的可自证时薪；本项目将现金口径与含时间成本的全成本口径分别列示，避免只报现金 ROI 造成的系统性高估,,假设,2026-07-26,敏感性区间 10 ~ 60
假设,mature_sessions_p22,成熟期月会话数达到该值的概率为 22%（校准锚点一）,50000,会话/月,"50,000 会话/月约对应 1,000 美元/月广告收入；用已上线独立项目达到 1k MRR 的 20–30% 区间下沿偏中位置作为校准点",,假设,2026-07-26,敏感性区间 40000 ~ 60000
假设,mature_sessions_p5,成熟期月会话数达到该值的概率为 5%（校准锚点二）,300000,会话/月,"约对应 5,000 美元/月；调研结论为'36–48 个月且多数站点永远达不到'，取 5%",,假设,2026-07-26,敏感性区间 250000 ~ 350000
假设,ramp_midpoint_months,流量爬坡的中点月份（logistic 曲线拐点）,24,月,"调研给出 1,000 美元/月需 20–30 个月；取区间中值，按正态抖动 σ=6 个月",,假设,2026-07-26,敏感性区间 18 ~ 32
假设,ramp_steepness,流量爬坡陡度参数 k,5.0,月,使 10%→90% 爬坡约耗时 22 个月，与 YMYL 新域名的实际观测节奏一致,,假设,2026-07-26,敏感性区间 3.0 ~ 8.0
假设,algo_event_interval,算法更新事件的平均间隔,1.75,月,由 SOURCES.core_updates_28mo（28 个月 16 次）直接推得,,假设,2026-07-26,敏感性区间 1.5 ~ 2.5
假设,algo_shock_median,单次算法事件对可见度的中位乘数,0.985,倍,小型出版商长期承压：该中位数叠加事件频率后，年化中位拖累约 -10%，显著弱于 Chartbeat 观测到的 -60%，因为后者是存量站点且不含内容增量,,假设,2026-07-26,敏感性区间 0.96 ~ 1.0
假设,algo_shock_sigma,单次算法事件乘数的对数标准差,0.16,-,使约 5% 的事件造成 35% 以上的可见度损失，与 2026-03 更新中 24.1% 页面跌出前 100 的观测量级相容,,假设,2026-07-26,敏感性区间 0.1 ~ 0.25
假设,penalty_hazard_annual,遭遇人工处罚/大规模内容滥用判罚的年风险率,0.06,/年,全样本基准率为 1.9%（含大量人工站）；纯 AI 内容站的条件概率显著更高，本方案采用具名责任编辑与工具优先形态以压低该值，取 6% 并做敏感性,,假设,2026-07-26,敏感性区间 0.02 ~ 0.15
假设,penalty_traffic_residual,遭处罚后残余流量比例,0.05,倍,案例观测为整目录被移出索引，且 AI 引用同步消失,,假设,2026-07-26,敏感性区间 0.01 ~ 0.15
假设,penalty_recovery_prob,处罚后 12 个月内实质恢复的概率,0.22,-,Glenn Gabe 追踪的 HCU 受灾站中仅 22% 恢复了 20% 以上流量,,假设,2026-07-26,敏感性区间 0.1 ~ 0.35
假设,pages_per_session,每会话页面浏览数,1.15,-,工具型与查询型内容以单页即走为主；用于会话 RPM 与 PV RPM 的换算,,假设,2026-07-26,敏感性区间 1.05 ~ 1.4
假设,rpm_adsense,AdSense 阶段会话 RPM,5.0,美元/千会话,调研给出 3–8 美元区间，取中值,,假设,2026-07-26,敏感性区间 3.0 ~ 8.0
假设,rpm_journey,Journey by Mediavine 阶段会话 RPM,8.5,美元/千会话,调研给出 5–12 美元区间，取中值,,假设,2026-07-26,敏感性区间 5.0 ~ 12.0
假设,rpm_premium,Raptive / Mediavine Official 阶段会话 RPM（全年均值）,19.0,美元/千会话,调研中心估计 16–22 美元：政府福利类为低商业意图的信息型流量，不享有信用卡/保险类金融内容的溢价,,假设,2026-07-26,敏感性区间 10.0 ~ 30.0
假设,rpm_annual_decay,RPM 的年衰减率,0.1,/年,Mediavine 发布商报告同比 -30%，但恒定 -30% 不可持续；取 -10% 作为长期结构性下行,,假设,2026-07-26,敏感性区间 0.0 ~ 0.25
假设,b2b_arpa,B 端数据订阅的每账户月均收入,79.0,美元/月,面向 fintech、AI 应用与地方媒体的结构化数据订阅，定价在 29–199 美元区间取中枢；该价位使 Stripe 固定手续费占比降至 3% 以下，规避了 0.99 美元微支付的致命结构,,假设,2026-07-26,敏感性区间 29.0 ~ 199.0
假设,b2b_conv_per_10k_sessions,每 1 万月会话可转化的 B 端付费账户数,0.35,个,消费者流量作为 B 端的发现渠道，转化率低但稳定；无外部基准，属本模型最弱的假设之一，已纳入敏感性分析,,假设,2026-07-26,敏感性区间 0.1 ~ 1.0
假设,b2b_monthly_churn,B 端订阅月流失率,0.05,-,小微 B2B 数据订阅的常见量级,,假设,2026-07-26,敏感性区间 0.03 ~ 0.1
假设,b2b_ramp_start_month,B 端通道开始产生收入的月份,13,月,第一年用于把 50 州发放规则做成可信数据集，无可售之物,,假设,2026-07-26,敏感性区间 9 ~ 18
假设,b2b_inbound_per_month,不依赖消费者流量的 B 端月均自然获客数（目录、API 市场、开源渠道）,0.15,个/月,这是双通道方案真正的对冲价值所在：搜索流量归零时这条线仍在。泊松到达，稳态约 3 个账户；无外部基准，属弱假设,,假设,2026-07-26,敏感性区间 0.05 ~ 0.4
假设,p_sale_given_threshold,达到可挂牌门槛后 5 年内实际成交的概率,0.75,-,Empire Flippers 平均在市 101.8 天，但其自述会在估值前拒掉多数提交；含 AI 内容的资产平均多花 54% 时间才售出,,假设,2026-07-26,敏感性区间 0.5 ~ 0.9
假设,content_pages_total,五年内维护的页面总量,900,页,50 州 × 约 4 类页面 + 联邦付款日历 + Direct Express 过渡 + 长尾问答；刻意不做规模化铺量，因为大规模内容滥用政策与页面数无关而与意图有关,,假设,2026-07-26,敏感性区间 400 ~ 2000
假设,llm_cost_per_page_cycle,每页每次生成/更新的 LLM 成本,0.03,美元,取 DeepSeek 0.0024 与 Opus 0.085 之间的偏保守值，含四段式核验流水线,,假设,2026-07-26,敏感性区间 0.0024 ~ 0.085
假设,page_refresh_per_year,每页年均更新次数,4,次/年,发放日历按月变动，州规则按年变动；这是本产品准确性的核心成本,,假设,2026-07-26,敏感性区间 2 ~ 12
假设,compliance_legal_reserve,合规一次性支出（品牌与页面合规审查、条款与免责声明起草）,800,美元,第 1140 条按每次浏览计罚，品牌名、域名、视觉与页面文案必须在发布前定型，这是发布前必须花的钱，不是事后审计项,,假设,2026-07-26,敏感性区间 300 ~ 2500
假设,exit_multiple_base,退出倍数基准（已计入 AI 内容折让）,14.0,×月净利,Empire Flippers 30 万美元以下档为 22.42× 月净利；Motion Invest 实际成交显示含 AI 内容折让 39%，22.42 × 0.61 ≈ 13.7；B 端订阅收入占比可部分修复倍数,,假设,2026-07-26,敏感性区间 11.0 ~ 22.0
假设,exit_min_profit,存在买家的最低月净利门槛,200.0,美元/月,低于此规模的资产在主流经纪平台上基本无法挂牌成交,,假设,2026-07-26,敏感性区间 100.0 ~ 500.0
假设,exit_b2b_multiple_premium,B 端订阅收入部分的倍数溢价系数,1.8,倍,Acquire.com 已确认成交 SaaS 中位 3.9× 年净利，约为内容站 1.87× 的 2.1 倍；考虑到本方案 B 端体量小、客户集中，折半后取 1.8,,假设,2026-07-26,敏感性区间 1.0 ~ 2.5
假设,mc_paths,蒙特卡洛路径数,20000,条,在 3 秒内可完成且使各分位数稳定,,假设,2026-07-26,
假设,mc_horizon_months,模拟期长度,60,月,与 5 年收益率口径一致,,假设,2026-07-26,
假设,mc_seed,随机种子,20260726,-,固定种子以保证结论可复现,,假设,2026-07-26,
